matchid,year,innings,bowler,over,runs,wickets,stat,url
980909,2016,1,Harbhajan Singh,10,9,0,2-0-15-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,J Suchith,11,18,0,2-0-31-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,MJ McClenaghan,12,9,0,3-0-18-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,JJ Bumrah,13,10,0,2-0-13-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,Harbhajan Singh,14,4,1,3-0-19-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,TG Southee,15,16,0,4-0-43-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,Harbhajan Singh,16,12,0,4-0-31-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,JJ Bumrah,17,12,0,3-0-25-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,MJ McClenaghan,18,7,1,4-0-25-2,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,HH Pandya,19,10,1,2-0-22-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,1,JJ Bumrah,20,7,0,4-0-32-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=1;view=commentary
980909,2016,2,AD Russell,1,8,0,1-0-8-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,JW Hastings,2,10,0,1-0-10-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,AD Russell,3,9,0,2-0-17-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,GB Hogg,4,8,0,1-0-8-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,JW Hastings,5,13,0,2-0-23-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,GB Hogg,6,3,0,2-0-11-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,PP Chawla,7,5,0,1-0-5-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,Kuldeep Yadav,8,5,0,1-0-5-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,PP Chawla,9,9,0,2-0-14-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,Kuldeep Yadav,10,15,0,2-0-20-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,PP Chawla,11,14,1,3-0-28-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,Kuldeep Yadav,12,8,1,3-0-28-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,JW Hastings,13,4,0,3-0-27-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,Kuldeep Yadav,14,9,0,4-0-37-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,GB Hogg,15,17,0,3-0-28-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,AD Russell,16,18,0,3-0-35-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,GB Hogg,17,9,0,4-0-37-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,JW Hastings,18,4,0,4-0-31-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980909,2016,2,AD Russell,19,17,1,4-0-52-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html?innings=2;view=commentary
980911,2016,1,P Kumar,1,5,0,1-0-5-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980911.html?innings=1;view=commentary
980911,2016,1,SB Jakati,2,11,0,1-0-11-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980911.html?innings=1;view=commentary
980911,2016,1,P Kumar,3,7,0,2-0-12-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980911.html?innings=1;view=commentary
980911,2016,1,PV Tambe,4,5,1,1-0-5-1,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980911.html?innings=1;view=commentary
980911,2016,1,SB Jakati,5,12,0,2-0-23-0,http://www.espncricinfo.com/indian-premier-league-2016/engine/match/980911.html?innings=1;view=commentary
